time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,reset,start,ready,state_bits,state,next_state_bits,next,count
9900,1,0,1,00101,5,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,5
9950,0,0,1,00101,5,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,5
10000,1,0,1,00110,6,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,6
10050,0,0,1,00110,6,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,6
10100,1,0,1,00111,7,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,7
10150,0,0,1,00111,7,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,7
10200,1,0,1,01000,8,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,8
10250,0,0,1,01000,8,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,8
10300,1,0,1,01001,9,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,9
10350,0,0,1,01001,9,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,9
10400,1,0,1,01010,10,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,10
10450,0,0,1,01010,10,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,10
10500,1,1,1,01011,11,01011,11,1@11,0,0,1,0,10,CHECK,01,IDLE,11
10550,0,1,1,01011,11,01011,11,1@11,0,0,1,0,10,CHECK,01,IDLE,11
10600,1,1,1,01011,11,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,11
10650,0,1,1,01011,11,01100,12,1@12,0,0,1,1,01,IDLE,10,CHECK,11
10700,1,0,1,00000,0,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,0
10750,0,0,1,00000,0,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,0
10800,1,0,1,00001,1,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,1
10850,0,0,1,00001,1,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,1
10900,1,0,1,00010,2,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,2
10950,0,0,1,00010,2,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,2
11000,1,0,1,00011,3,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,3
11050,0,0,1,00011,3,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,3
11100,1,0,1,00100,4,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,4
11150,0,0,1,00100,4,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,4
11200,1,0,1,00101,5,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,5
11250,0,0,1,00101,5,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,5
11300,1,0,1,00110,6,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,6
11350,0,0,1,00110,6,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,6
11400,1,0,1,00111,7,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,7
11450,0,0,1,00111,7,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,7
11500,1,0,1,01000,8,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,8
11550,0,0,1,01000,8,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,8
11600,1,0,1,01001,9,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,9
11650,0,0,1,01001,9,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,9
11700,1,0,1,01010,10,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,10
11750,0,0,1,01010,10,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,10
11800,1,0,1,01011,11,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,11
11850,0,0,1,01011,11,01100,12,1@12,0,0,1,0,10,CHECK,10,CHECK,11
11900,1,1,1,01100,12,01100,12,1@12,0,0,1,0,10,CHECK,01,IDLE,12
11950,0,1,1,01100,12,01100,12,1@12,0,0,1,0,10,CHECK,01,IDLE,12
12000,1,1,1,01100,12,01100,12,1@12,0,0,0,1,01,IDLE,01,IDLE,12
12050,0,1,1,01100,12,01101,13,1@13,0,0,1,1,01,IDLE,10,CHECK,12
12100,1,0,1,00000,0,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,0
12150,0,0,1,00000,0,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,0
12200,1,0,1,00001,1,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,1
12250,0,0,1,00001,1,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,1
12300,1,0,1,00010,2,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,2
12350,0,0,1,00010,2,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,2
12400,1,0,1,00011,3,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,3
12450,0,0,1,00011,3,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,3
12500,1,0,1,00100,4,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,4
12550,0,0,1,00100,4,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,4
12600,1,0,1,00101,5,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,5
12650,0,0,1,00101,5,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,5
12700,1,0,1,00110,6,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,6
12750,0,0,1,00110,6,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,6
12800,1,0,1,00111,7,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,7
12850,0,0,1,00111,7,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,7
12900,1,0,1,01000,8,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,8
12950,0,0,1,01000,8,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,8
13000,1,0,1,01001,9,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,9
13050,0,0,1,01001,9,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,9
13100,1,0,1,01010,10,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,10
13150,0,0,1,01010,10,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,10
13200,1,0,1,01011,11,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,11
13250,0,0,1,01011,11,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,11
13300,1,0,1,01100,12,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,12
13350,0,0,1,01100,12,01101,13,1@13,0,0,1,0,10,CHECK,10,CHECK,12
13400,1,1,1,01101,13,01101,13,1@13,0,0,1,0,10,CHECK,01,IDLE,13
13450,0,1,1,01101,13,01101,13,1@13,0,0,1,0,10,CHECK,01,IDLE,13
13500,1,1,1,01101,13,01101,13,1@13,0,0,0,1,01,IDLE,01,IDLE,13
13550,0,1,1,01101,13,01110,14,1@14,0,0,1,1,01,IDLE,10,CHECK,13
13600,1,0,1,00000,0,01110,14,1@14,0,0,1,0,10,CHECK,10,CHECK,0
13650,0,0,1,00000,0,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,0
13700,1,0,1,00001,1,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,1
13750,0,0,1,00001,1,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,1
13800,1,0,1,00010,2,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,2
13850,0,0,1,00010,2,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,2
13900,1,0,1,00011,3,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,3
13950,0,0,1,00011,3,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,3
14000,1,0,1,00100,4,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,4
14050,0,0,1,00100,4,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,4
14100,1,0,1,00101,5,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,5
14150,0,0,1,00101,5,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,5
14200,1,0,1,00110,6,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,6
14250,0,0,1,00110,6,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,6
14300,1,0,1,00111,7,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,7
14350,0,0,1,00111,7,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,7
14400,1,0,1,01000,8,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,8
14450,0,0,1,01000,8,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,8
14500,1,0,1,01001,9,01110,14,1@14,0,0,0,0,10,CHECK,10,CHECK,9
